geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
Region,1,,All,2009-10,201034,0,165,165,2076,7.947976879,90.68059982
State,,Tennessee,All,2009-10,201028,,,83,1022,8.121330724,89.34052191
State,,Ohio,All,2009-10,201022,,,150,1965,7.633587786,95.4723929
State,,Idaho,All,2009-10,201016,,,21,219,9.589041096,98.51912439
State,,Tennessee,All,2009-10,201017,,,102,1067,9.559512652,93.27430223
State,,Illinois,All,2009-10,201034,,,132,1826,7.228915663,94.59685895
State,,North Dakota,All,2009-10,201015,,,8,112,7.142857143,98.39841944
State,,South Carolina,All,2009-10,200952,,,76,850,8.941176471,106.6236931
Region,6,,All,2009-10,200947,16,423,439,5503,7.977466836,98.99492513
State,,District of Columbia,All,2009-10,201029,,,4,76,5.263157895,85.1004554
State,,District of Columbia,All,2009-10,201005,,,8,87,9.195402299,97.41762657
State,,Oklahoma,All,2009-10,201022,,,41,655,6.259541985,94.07104032
State,,Montana,All,2009-10,201015,,,14,198,7.070707071,117.8370067
Region,7,,All,2009-10,200947,8,177,185,2377,7.782919647,101.0320956
State,,Kansas,All,2009-10,200946,,,39,456,8.552631579,96.71114719
State,,Pennsylvania,All,2009-10,200945,,,208,2406,8.645054032,99.86118641
Region,2,,All,2009-10,201030,0,317,317,3828,8.281086729,92.22958602
State,,Michigan,All,2009-10,201024,,,111,1545,7.184466019,91.5061296
State,,Hawaii,All,2009-10,200946,,,24,197,12.18274112,103.7782931
State,,Colorado,All,2009-10,200949,,,42,639,6.572769953,104.271549
State,,South Carolina,All,2009-10,201037,,,47,788,5.964467005,98.84643547
State,,Georgia,All,2009-10,200942,,,99,1278,7.746478873,94.30269137
National,,,All,2009-10,201027,3,3215,3218,45580,7.060114085,95.79755987
Region,7,,All,2009-10,200950,5,213,218,2470,8.825910931,104.9849711
State,,Vermont,All,2009-10,201009,,,17,115,14.7826087,114.6215842
National,,,0-17 years,2009-10,201006,1,28,29,742,3.908355795,105.3394844
State,,Maryland,All,2009-10,201010,,,93,907,10.25358324,108.8772996
State,,Delaware,All,2009-10,200949,,,11,150,7.333333333,101.5812326
State,,Michigan,All,2009-10,201012,,,128,1705,7.507331378,100.9824925
State,,New York City,All,2009-10,200944,,,101,998,10.12024048,100.2296929
Region,2,,All,2009-10,200950,4,352,356,4314,8.252202133,103.9389849
State,,Maryland,All,2009-10,200942,,,72,857,8.401400233,102.8752434
State,,Minnesota,All,2009-10,200943,,,67,746,8.981233244,99.85397907
State,,Missouri,All,2009-10,200943,,,91,1057,8.609271523,100.1477875
State,,Maine,All,2009-10,200951,,,13,225,5.777777778,92.02003796
State,,South Dakota,All,2009-10,201015,,,13,122,10.65573771,89.10088409
Region,8,,All,2009-10,201034,0,67,67,1322,5.068078669,94.35085934
Region,6,,All,2009-10,201022,0,377,377,5238,7.197403589,94.22776992
State,,New Mexico,All,2009-10,201027,,,21,303,6.930693069,98.00210468
State,,Ohio,All,2009-10,201030,,,133,1891,7.033315706,91.87699489
State,,Arkansas,All,2009-10,201031,,,29,531,5.461393597,94.90251411
State,,Illinois,All,2009-10,200944,,,197,2006,9.820538385,103.9218505
Region,6,,All,2009-10,201015,3,447,450,5446,8.262945281,97.96953703
State,,Florida,All,2009-10,201005,,,198,3366,5.882352941,101.4381705
State,,District of Columbia,All,2009-10,200944,,,10,114,8.771929825,127.6506831
State,,Oregon,All,2009-10,201008,,,44,659,6.676783005,106.9663951
Region,1,,All,2009-10,201036,0,163,163,2052,7.943469786,89.63226919
State,,Minnesota,All,2009-10,201012,,,58,729,7.956104252,97.57848625
State,,Arkansas,All,2009-10,200941,,,39,512,7.6171875,91.5067556
State,,Vermont,All,2009-10,201027,,,8,91,8.791208791,90.70055797
State,,Alaska,All,2009-10,201031,,,4,73,5.479452055,101.2744773
State,,Iowa,All,2009-10,201003,,,44,548,8.02919708,102.6667981
State,,New York,All,2009-10,200940,,,149,1785,8.347338936,97.91192611
State,,Texas,All,2009-10,201018,,,246,3207,7.670720299,99.85563859
State,,North Carolina,All,2009-10,201024,,,110,1427,7.708479327,94.08533969
State,,South Carolina,All,2009-10,201009,,,71,855,8.304093567,107.2508913
State,,Michigan,All,2009-10,201023,,,133,1623,8.194701171,96.12585653
Region,8,,All,2009-10,201001,2,114,116,1379,8.411892676,98.41893724
State,,Maine,All,2009-10,201018,,,24,264,9.090909091,107.9701779
State,,Texas,All,2009-10,201022,,,214,2990,7.157190636,93.09895833
State,,Alabama,All,2009-10,201017,,,63,878,7.175398633,95.06053244
State,,Arizona,All,2009-10,201007,,,65,963,6.749740395,106.1719603
Region,1,,All,2009-10,201038,0,172,172,2198,7.825295723,96.00961388
Region,2,,All,2009-10,200946,10,378,388,4192,9.255725191,100.9995885
State,,New Jersey,All,2009-10,201001,,,113,1422,7.946554149,106.7782361
State,,Arizona,All,2009-10,201029,,,39,900,4.333333333,99.22613113
State,,District of Columbia,All,2009-10,201035,,,5,73,6.849315069,81.7412269
State,,Maine,All,2009-10,201033,,,16,220,7.272727273,89.97514823
Region,4,,All,2009-10,200946,29,744,773,10027,7.7091852,96.23503534
State,,Alaska,All,2009-10,201034,,,2,76,2.631578947,105.4364421
State,,North Dakota,All,2009-10,200946,,,11,107,10.28037383,94.00563286
State,,South Dakota,All,2009-10,201006,,,8,112,7.142857143,81.79753294
State,,Mississippi,All,2009-10,200946,,,55,609,9.031198686,109.900272
Region,7,,All,2009-10,200952,4,215,219,2405,9.106029106,102.2222087
State,,New Mexico,All,2009-10,201028,,,25,300,8.333333333,97.03178681
State,,Vermont,All,2009-10,201008,,,11,104,10.57692308,103.6577805
Region,4,,All,2009-10,201019,1,692,693,10235,6.770884221,98.23133407
National,,,0-17 years,2009-10,201003,3,19,22,741,2.968960864,104.9023214
State,,Kansas,All,2009-10,201025,,,37,446,8.295964126,94.5902887
National,,,All,2009-10,200952,47,4310,4357,49617,8.781264486,104.2823065
State,,Mississippi,All,2009-10,201012,,,52,600,8.666666667,108.27613
State,,Delaware,All,2009-10,201034,,,7,142,4.929577465,96.16356685
State,,Washington,All,2009-10,201024,,,75,865,8.670520231,92.47219977
National,,,0-17 years,2009-10,201012,3,26,29,720,4.027777778,101.5016972
State,,North Dakota,All,2009-10,200945,,,12,119,10.08403361,104.5483207
